Address,Price,Bedrooms,Bathrooms,Property_type,Floor_area,Date,County,zip_code
"Main Street, Tyrellspass,  Westmeath, N91P650",320000,3,3,Detached,216 m²,2023-12-22, Westmeath,N91P650
"Ballygaddy Road, Tuam,  Galway, H54PW89",350000,4,1,Detached,0.45 ac,2023-12-22, Galway,H54PW89
"Tonmoyle, Tuam,  Galway",50000,3,4,Site,0.75 ac,2023-12-22, Galway, Galway
"2 Sli Esker, Ballinasloe,  Galway, H53XN82",179500,5,1,Semi-D,125 m²,2023-12-22, Galway,H53XN82
"Kilcohan House, Kilcohan, Waterford City,  Waterford, X91N9KW",750000,5,4,Detached,214 m²,2023-12-22, Waterford,X91N9KW
"Drumherrive, Ramelton,  Donegal, F92X4E7",88000,5,2,Site,0.5 ac,2023-12-22, Donegal,F92X4E7
"Kilkenny Road, Gowran,  Kilkenny",560000,2,1,Detached,227 m²,2023-12-22, Kilkenny, Kilkenny
"Edenderry Road, Rhode,  Offaly, R35HX76",245000,4,3,Semi-D,167 m²,2023-12-22, Offaly,R35HX76
"Shammer, Kilkelly,  Mayo, F35P206",90000,4,3,Bungalow,217 m²,2023-12-22, Mayo,F35P206
"Rathmahon, Fernhill Road, Carrigaline,  Cork, P43V076",820000,4,3,Detached,233 m²,2023-12-22, Cork,P43V076
"Hoganswood, Clane,  Kildare",775000,3,3,Detached,250 m²,2023-12-22, Kildare, Kildare
"9 South Parade, Waterford City,  Waterford, X91H5CC",550000,4,2,Terrace,74 m²,2023-12-22, Waterford,X91H5CC
"Ballymore West, Boyle,  Roscommon, F52FY52",56000,2,5,Detached,214 m²,2023-12-22, Roscommon,F52FY52
"Sky Lodge, Killynann, Gorey,  Wexford, Y25C7N0",520000,5,2,Detached,124 m²,2023-12-22, Wexford,Y25C7N0
"The Old Post Office, Knocknagross, Bree,  Wexford, Y21E2R2",299000,2,2,Detached,270 m²,2023-12-22, Wexford,Y21E2R2
"11 Cuan An Óir, Dungory West, Kinvara,  Galway, H91D7YY",720000,5,2,Detached,100 m²,2023-12-22, Galway,H91D7YY
"50 Main Street, Ongar Village, Ongar, Dublin 15, D15W5F3",300000,3,2,Terrace,223 m²,2023-12-22,Dublin,D15W5F3
"The Villa, Main Street, Piltown,  Kilkenny, E32NY10",360000,5,1,Terrace,0.75 ac,2023-12-22, Kilkenny,E32NY10
"7 Coolkellure Avenue, Coolkellure, Lehenaghmore,  Cork, T12PKW1",560000,5,3,Detached,153 m²,2023-12-22, Cork,T12PKW1
"15 Cois Inbhir, Shandon, Dungarvan,  Waterford, X35AN20",380000,3,3,Semi-D,111 m²,2023-12-22, Waterford,X35AN20
"Cois Farraige, Kilcredan, Ladysbridge,  Cork, P25N298",450000,5,2,Detached,195 m²,2023-12-22, Cork,P25N298
"Bunanioo, Currane, Achill,  Mayo, F28PK88",345000,5,5,Detached,187 m²,2023-12-22, Mayo,F28PK88
"House on 5 acres at Castlecarragh, Ballintubber,  Mayo",350000,3,3,Bungalow,139 m²,2023-12-22, Mayo, Mayo
"Isvory House, Finnan, Ballyragget,  Kilkenny, R95PK1H",575000,4,2,Detached,250 m²,2023-12-22, Kilkenny,R95PK1H
"Hollybrook Lodge, Kilcavan Lower, Tara Hill, Tara Hill,  Wexford, Y25Y623",650000,4,2,Detached,180 m²,2023-12-22, Wexford,Y25Y623
"71 Gerald Griffin Street, Blackpool,  Cork, T23D560",200000,3,2,Townhouse,55 m²,2023-12-22, Cork,T23D560
"Apartment 4, The Beeches, Clonshaugh, Dublin 17, D17W960",269000,2,1,Apartment,255 m²,2023-12-22,Dublin,D17W960
"Lisnanagh, Edgeworthstown,  Longford, N39DT35",425000,5,3,Detached,1 ac,2023-12-22, Longford,N39DT35
"Cliggin, Doon,  Limerick",40000,3,3,Site,97 m²,2023-12-22, Limerick, Limerick
"44 Carrabeag, Newport Road, Castlebar,  Mayo, F23DX52",265000,3,1,End of Terrace,93 m²,2023-12-22, Mayo,F23DX52
"The Bungalow, Ardass, Castlerea,  Roscommon, F45R663",160000,3,2,Detached,0.45 ac,2023-12-22, Roscommon,F45R663
"1 Somerville Terrace, Glenbrook, Passage West,  Cork, T12KN2Y",390000,5,5,Terrace,511 m²,2023-12-22, Cork,T12KN2Y
"5 Fully Serviced Sites Each With Outline Planning - Ashford, Two Mile Borris, Thurles,  Tipperary",115000,2,1,Site,123 m²,2023-12-22, Tipperary, Tipperary
"Pitchfordstown, Kilcock,  Kildare, W23D1FW",1900000,4,1,Detached,120 m²,2023-12-22, Kildare,W23D1FW
"No 11 Woodlands, Loughglynn, Castlerea,  Roscommon",125000,4,3,Semi-D,116 m²,2023-12-22, Roscommon, Roscommon
"Cloonyquin Tulsk, Castlerea, Roscommon, Tulsk,  Roscommon",140000,3,2,Detached,116 m²,2023-12-22, Roscommon, Roscommon
"Villa Rosa, 23 Saint Bridget's Crescent, Castlebar,  Mayo, F23XV27",165000,3,1,Terrace,240 m²,2023-12-22, Mayo,F23XV27
"Lackagh More, Lackagh,  Galway, H65D577",490000,4,4,Detached,200 m²,2023-12-22, Galway,H65D577
"Kiltrasna, Headford,  Galway, H91F5F1",450000,4,2,Detached,114 m²,2023-12-22, Galway,H91F5F1
"Knockroe, Thurles,  Tipperary, E41WK60",275000,4,1,Detached,193 m²,2023-12-22, Tipperary,E41WK60
"3 Averard West, Taylors Hill Road, Galway City Centre, H91E4XW",1150000,4,4,Detached,223 m²,2023-12-22,Dublin,H91E4XW
"Shanvalleyard, Tourmakeady,  Mayo, F12Y6X4",450000,4,4,Detached,0.7 ac,2023-12-22, Mayo,F12Y6X4
"Tullycommons, Snugboro, Castlebar,  Mayo",90000,2,3,Site,0.6 ac,2023-12-22, Mayo, Mayo
"Shraheens, Achill,  Mayo",70000,4,2,Site,84 m²,2023-12-22, Mayo, Mayo
"5 Mall Mews, Rock Square, Castlebar,  Mayo, F23HY98",229500,4,1,Apartment,160 m²,2023-12-22, Mayo,F23HY98
"Kilcoosy, Dromahair,  Leitrim, F91K7D8",275000,5,3,Detached,94 m²,2023-12-22, Leitrim,F91K7D8
"1 Barry's Terrace, Glanmire,  Cork, T45EP95",248000,3,2,Terrace,242 m²,2023-12-22, Cork,T45EP95
"5 The Railways, Baltimore Road, Skibbereen,  Cork, P81PN44",250000,4,2,Semi-D,182 m²,2023-12-22, Cork,P81PN44
"Sunset Villa, 3 Rathbawn Road, Castlebar,  Mayo, F23HY82",495000,3,2,Detached,107 m²,2023-12-22, Mayo,F23HY82
"Apartment 4, St Lawrence Court, St Lawrence Road, Clontarf, Dublin 3, D03X093",250000,1,1,Apartment,44 m²,2023-12-22,Dublin,D03X093
"Cahergal, Tuam,  Galway, H54E339",330000,3,2,Detached,125 m²,2023-12-22, Galway,H54E339
"89 The Forum, Ballymoss Road, Sandyford, Dublin 18, D18W962",335000,1,1,Apartment,305 m²,2023-12-22,Dublin,D18W962
"40 Brookvale, Ballyvolane,  Cork, T23PH99",295000,3,3,Semi-D,169 m²,2023-12-22, Cork,T23PH99
"330 & 332 Kimmage Road Lower, Kimmage, Dublin 6W, D6WPF51",945000,4,4,Semi-D,71 m²,2023-12-22,Dublin,D6WPF51
"1 Model Farm Court, Leitrim Villlage, Carrick-on-Shannon,  Leitrim, N41K654",249950,4,3,Semi-D,64 m²,2023-12-22, Leitrim,N41K654
"Thomastown, Naas,  Kildare, W91CP8A",499950,5,4,Detached,120 m²,2023-12-22, Kildare,W91CP8A
"10 Bishop Rogan Park, Kilcullen,  Kildare, R56C862",299950,3,1,Semi-D,57 m²,2023-12-22, Kildare,R56C862
"3191 Avondale Drive, Kilcullen,  Kildare, R56DP74",299950,3,1,Semi-D,108 m²,2023-12-22, Kildare,R56DP74
"Apartment 16, Bell Harbour, Monasterevin,  Kildare, W34XK88",199950,2,2,Apartment,160 m²,2023-12-22, Kildare,W34XK88
"43 Boroimhe Cedars, Swords, Cloghran,  Dublin, K67CV04",280000,2,2,Apartment,1.16 ac,2023-12-22, Dublin,K67CV04
"1A The Avenue, Melrose Park, Kinsealy,  Dublin, K67XP21",395000,4,2,End of Terrace,80 m²,2023-12-22, Dublin,K67XP21
"7 Cedar Lodge, Farmleigh Woods, Castleknock, Dublin 15, D15RC96",390000,1,1,Apartment,70 m²,2023-12-22,Dublin,D15RC96
"6 Brookfield Court, Richmond Avenue South, Dartry, Dublin 6, D06HP44",595000,2,2,Apartment,99 m²,2023-12-22,Dublin,D06HP44
"8 Brookwood Lawns, Red Barns Road, Dundalk,  Louth, A91T6D0",260000,3,2,Semi-D,95 m²,2023-12-22, Louth,A91T6D0
"Apartment 1, Apartment 1, The Pavilion 2, Marine Road, Dun Laoghaire,  Dublin, A96W8D4",675000,2,2,Apartment,130 m²,2023-12-22, Dublin,A96W8D4
"9 Cullenswood Park, Ranelagh, Dublin 6, D06N623",1150000,3,3,Terrace,65 m²,2023-12-22,Dublin,D06N623
"4 Larkfield Avenue, Harold's Cross, Terenure, Dublin 6W, D6WAR23",650000,4,3,Semi-D,140 m²,2023-12-22,Dublin,D6WAR23
"41 Phibblestown Wood, Clonsilla, Clonee, Dublin 15, D15YT22",255000,2,1,Apartment,325 m²,2023-12-22,Dublin,D15YT22
"17 Riasc Na Ri, Bothar Stiofan, Rahoon,  Galway, H91TWP1",420000,4,3,Semi-D,139 m²,2023-12-22, Galway,H91TWP1
"Bedrock Giltspur Lane Southern Cross Road, Bray,  Wicklow, A98YX57",925000,5,2,Detached,139 m²,2023-12-22, Wicklow,A98YX57
"Cullentragh, Newtowncashel,  Longford, N39TP84",430000,4,1,Detached,251 m²,2023-12-22, Longford,N39TP84
"Cullentragh, Newtowncashel,  Longford, N39TP84",80000,4,1,Detached,277 m²,2023-12-22, Longford,N39TP84
"Carrowbehy, Castlerea,  Roscommon, F45XV63",140000,3,1,Detached,50 m²,2023-12-22, Roscommon,F45XV63
"Ballyhickey, Quin,  Clare, V95T9K6",525000,4,4,Detached,0.35 ac,2023-12-22, Clare,V95T9K6
"Meadow Lodge, Knock North, Cross,  Mayo, F12D5A0",550000,5,4,Detached,206 m²,2023-12-22, Mayo,F12D5A0
"25 Seagrave Way, Meakstown, Finglas, Dublin 11, D11AD76",199000,1,1,Apartment,73 m²,2023-12-22,Dublin,D11AD76
"Apartment 5 Phoenix View James Street, Dublin 8, D08K0V5",289950,2,1,Apartment,114 m²,2023-12-22,Dublin,D08K0V5
"25 Bolton Square, Dominick Street Lower, Dublin 1, D01P735",215000,1,1,Apartment,38 m²,2023-12-22,Dublin,D01P735
"56 Shanid Road, Harold's Cross, Dublin 6W, D6WFC79",595000,3,1,Semi-D,82 m²,2023-12-22,Dublin,D6WFC79
"92 Somerton, Donabate,  Dublin, K36W213",625000,4,4,Detached,129 m²,2023-12-22, Dublin,K36W213
"6c Warrington Mews, Donabate,  Dublin, K36K306",295000,2,2,Apartment,74 m²,2023-12-22, Dublin,K36K306
"86 Innisfallen Parade, Phibsborough, Dublin 7, D07HY31",410000,2,1,End of Terrace,66 m²,2023-12-22,Dublin,D07HY31
"6 Phelan Park, Royal Canal Park, Ashtown, Dublin 15, D15FY0F",595000,3,3,Terrace,140 m²,2023-12-22,Dublin,D15FY0F
"Tullycleave More, Ardara,  Donegal, F94X0C8",298000,3,1,Detached,65 m²,2023-12-22, Donegal,F94X0C8
"45 The Elms, Archerstown Demesne, Ashbourne,  Meath, A84C854",435000,3,3,Semi-D,56 m²,2023-12-22, Meath,A84C854
"6 Martello Manor, Strand Road, Bray,  Wicklow, A98R6D8",345000,2,1,Apartment,100 m²,2023-12-22, Wicklow,A98R6D8
"5 Glenburgh Terrace, River Lane, Bray,  Wicklow, A98RH26",475000,3,2,Terrace,71 m²,2023-12-22, Wicklow,A98RH26
"58 Nutgrove Avenue, Churchtown, Rathfarnham, Dublin 14, D14H5C3",465000,2,1,Terrace,155 m²,2023-12-22,Dublin,D14H5C3
"16 Willbrook Lawn, Rathfarnham, Rathfarnham, Dublin 14, D14RD23",695000,4,3,Detached,279 m²,2023-12-22,Dublin,D14RD23
"Nauntinan, Killorglin,  Kerry",390000,4,4,Detached,105 m²,2023-12-22, Kerry, Kerry
"51 Balnagowan, Ranelagh, Dublin 6, D06TN80",625000,3,2,Duplex,167 m²,2023-12-22,Dublin,D06TN80
"4 Blossomhill, Broomfield Village, Midleton,  Cork, P25HP79",535000,4,4,Detached,306 m²,2023-12-22, Cork,P25HP79
"Té Anau, Ballydwyre, Cloyne,  Cork, P25E847",585000,4,4,Detached,126 m²,2023-12-22, Cork,P25E847
"Rath South, Baltimore,  Cork, P81DD29",525000,4,4,Detached,100 m²,2023-12-22, Cork,P81DD29
"27 Brighton Avenue, Rathgar, Terenure, Dublin 6, D06DX76",825000,3,1,Semi-D,61 m²,2023-12-22,Dublin,D06DX76
"8 Hawthorn Avenue, Killarney,  Kerry, V93A8NH",315000,3,2,Semi-D,111 m²,2023-12-22, Kerry,V93A8NH
"Ballinagare Village, Castlerea,  Roscommon, F45RX00",185000,4,3,Terrace,168 m²,2023-12-22, Roscommon,F45RX00
"20 Beech Road, Ard Na Greine, Milltown,  Kerry, V93P8Y6",225000,3,2,Semi-D,113 m²,2023-12-22, Kerry,V93P8Y6
"Corraleehanbeg, Ballinamore,  Leitrim, N41N256",55000,2,1,Detached,93 m²,2023-12-22, Leitrim,N41N256
"Ashley Meadows, Greenpark, Dunshaughlin,  Meath, A85AY11",595000,5,2,Detached,195 m²,2023-12-22, Meath,A85AY11
"54 Ardsolus, Old Naas Road, Kingswood, Dublin 22, D22N9E2",425000,3,1,Terrace,108 m²,2023-12-22,Dublin,D22N9E2
"20 First Avenue, Inchicore, Dublin 8, D10FN77",350000,3,2,End of Terrace,66 m²,2023-12-22,Dublin,D10FN77
"73 Cill Cais, Old Bawn, Tallaght, Dublin 24, D24P9DT",365000,3,2,Terrace,115 m²,2023-12-22,Dublin,D24P9DT
"100 The Crescent Building, Park West, Dublin 12, D12PW26",245000,2,2,Apartment,158 m²,2023-12-22,Dublin,D12PW26
"51 Rathmill Green, Broadfield, Rathcoole,  Dublin, D24V26T",415000,3,2,Semi-D,128 m²,2023-12-22, Dublin,D24V26T
"73a Cill Cais, Old Bawn, Tallaght, Dublin 24, D24X64K",325000,2,3,End of Terrace,85 m²,2023-12-22,Dublin,D24X64K
"6 Shackleton Drive, Lucan,  Dublin, K78Y3C3",569000,4,3,Terrace,78 m²,2023-12-22, Dublin,K78Y3C3
"26 Beech Park, Lucan,  Dublin, K78V8P6",569000,4,3,Semi-D,172 m²,2023-12-22, Dublin,K78V8P6
"74 Griffin Rath Hall, Maynooth,  Kildare, W23Y6V0",300000,3,1,Terrace,142 m²,2023-12-22, Kildare,W23Y6V0
"Apt 12b Block B The Waterways, Sallins,  Kildare, W91X960",230000,2,3,Apartment,94 m²,2023-12-22, Kildare,W91X960
"39 Simmonstown Manor, Celbridge,  Kildare, W23RC84",595000,3,3,Semi-D,34 m²,2023-12-22, Kildare,W23RC84
"39 Leigh Valley, Ratoath,  Meath, A85C653",450000,3,1,Semi-D,70 m²,2023-12-22, Meath,A85C653
"Apartment 201, Beechwood Court, Stillorgan,  Dublin, A94A076",440000,2,2,Apartment,66 m²,2023-12-22, Dublin,A94A076
"19 Castlewood, Huntstown, Huntstown, Dublin 15, D15CC9R",299950,3,2,Terrace,146 m²,2023-12-22,Dublin,D15CC9R
"Timberley Cottage, Tinteskin, Kilmuckridge,  Wexford, Y25E2K6",365000,4,2,Bungalow,64 m²,2023-12-22, Wexford,Y25E2K6
"Apartment 14, Beech, Granary Court, Edenderry,  Offaly, R45XR67",100000,1,1,Apartment,105 m²,2023-12-22, Offaly,R45XR67
"32 Wadelai Road, Glasnevin, Glasnevin, Dublin 11, D11V880",395000,3,2,Semi-D,60 m²,2023-12-22,Dublin,D11V880
"29 Whitehall Square, D12 RK25, Perrystown, Dublin 12",289000,2,1,Apartment,72 m²,2023-12-22,Dublin,Dublin 12
"184 Boireann Bheag Roscam Galway H91AK44, Roscam,  Galway, H91AK44",250000,2,2,Apartment,120 m²,2023-12-22, Galway,H91AK44
"22 Sundale Avenue, Tallaght, Dublin 24",265000,2,3,Semi-D,84 m²,2023-12-22,Dublin,Dublin 24
"17 Weirview, Barnhill Crossroads, Lucan,  Dublin, K78Y5X2",385000,3,2,Terrace,90 m²,2023-12-22, Dublin,K78Y5X2
"40 The Paddocks Square, Adamstown,  Dublin, K78H4H8",345000,3,1,Duplex,117 m²,2023-12-22, Dublin,K78H4H8
"36 Belltree Avenue, Clongriffin, Dublin 13, D13PW3V",525000,3,3,Terrace,386 m²,2023-12-22,Dublin,D13PW3V
"12 Bayside Boulevard South, Bayside, Dublin 13, D13C596",450000,3,3,End of Terrace,76 m²,2023-12-22,Dublin,D13C596
"11 The Paddocks Place, The Paddocks Road, Adamatown, Lucan, Adamstown,  Dublin, K78FF90",365000,3,3,Terrace,120 m²,2023-12-22, Dublin,K78FF90
"20 Somerton Copse, Lucan,  Dublin, K78H3F4",495000,4,1,Terrace,97 m²,2023-12-22, Dublin,K78H3F4
"Apsley House Killumney Ovens, Ovens,  Cork, P31VY24",1100000,3,2,Detached,121 m²,2023-12-22, Cork,P31VY24
"Saint Anthony, 36 Greenfort Drive, Clondalkin, Dublin 22, D22H6W6",275000,3,2,Terrace,84 m²,2023-12-22,Dublin,D22H6W6
"Knockroe, Castledermot,  Kildare, R14CY92",370000,4,2,Detached,177 m²,2023-12-22, Kildare,R14CY92
"43 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18, D18RK85",299000,1,1,Apartment,50 m²,2023-12-22,Dublin,D18RK85
"26 Dodderbrook Avenue, Ballycullen, Dublin 24, D24NRH1",560000,3,3,Semi-D,121 m²,2023-12-22,Dublin,D24NRH1
"Caherfinesker, Craughwell,  Galway, H91K65F",490000,4,1,Bungalow,72 m²,2023-12-22, Galway,H91K65F
"14 Tuscany Downs, Raheny, Dublin 5, D05YH72",475000,3,1,Terrace,64 m²,2023-12-22,Dublin,D05YH72
"23 Ossory Road, East Wall, Dublin 3, D03RP02",245000,2,1,Terrace,123 m²,2023-12-22,Dublin,D03RP02
"Apartment 23, Woods End, River Road, Castleknock, Dublin 15, D15KP22",340000,2,1,Apartment,132 m²,2023-12-22,Dublin,D15KP22
"420 Howth Road, Raheny, Dublin 5, D05NW61",775000,3,2,Semi-D,58 m²,2023-12-22,Dublin,D05NW61
"St Judes, 8 Strand Road, Baldoyle, Dublin 13, D13K7P4",695000,3,2,Semi-D,68 m²,2023-12-22,Dublin,D13K7P4
"Apt 2, 4 Grange Lodge Avenue, Clongriffin, Dublin 13, D13RD72",230000,1,1,Apartment,100 m²,2023-12-22,Dublin,D13RD72
"C44, Bailis Village, Navan,  Meath, C15XP21",215000,2,2,Apartment,100 m²,2023-12-22, Meath,C15XP21
"77 Oak Place, Bailis Downs, Navan,  Meath, C15T8F5",305000,3,3,Semi-D,107 m²,2023-12-22, Meath,C15T8F5
"174 Abbeygrove, Navan,  Meath, C15C3X5",270000,4,1,Semi-D,191 m²,2023-12-22, Meath,C15C3X5
"Dulane, Kells,  Meath, A82Y0H2",399000,4,1,Detached,98 m²,2023-12-22, Meath,A82Y0H2
"58 Nutgrove Avenue, Rathfarnham, Dublin 14, D14H5C3",465000,2,1,Terrace,71 m²,2023-12-22,Dublin,D14H5C3
"53 Swanward Court, Parnell Road, Harold's Cross, Dublin 6, D12AV20",250000,1,1,Apartment,42 m²,2023-12-22,Dublin,D12AV20
"Tara, Boolyglass, Hugginstown,  Kilkenny, R95RK49",1250000,5,5,Detached,678 m²,2023-12-22, Kilkenny,R95RK49
"12 Plunkett Drive, Finglas, Dublin 11, D11F4E6",260000,2,1,End of Terrace,72 m²,2023-12-22,Dublin,D11F4E6
"104 Cluain Shee, Aitkens Village, Sandyford, Dublin 18",450000,3,3,End of Terrace,109 m²,2023-12-22,Dublin,Dublin 18
"188 Berryridge Avenue, Maryborough Village, Portlaoise,  Laois, R32FT4A",275000,3,3,Semi-D,117 m²,2023-12-22, Laois,R32FT4A
"Donegal Road, Ballybofey,  Donegal, F93A5NP",275000,2,1,Site,8.42 ac,2023-12-22, Donegal,F93A5NP
"Lacabeg, Cappamore,  Limerick, V94N2NN",90000,3,3,Detached,0.59 ac,2023-12-22, Limerick,V94N2NN
"16 Willbrook Lawn, Rathfarnham, Dublin 14, D14RD23",695000,3,2,Detached,155 m²,2023-12-22,Dublin,D14RD23
"66 Hawthorn Way, Esker Hills, Portlaoise,  Laois, R32Y6XA",220000,2,2,Semi-D,80 m²,2023-12-22, Laois,R32Y6XA
"23A Dr. Murphy Place, Portlaoise,  Laois, R32H5K0",250000,4,3,Detached,120 m²,2023-12-22, Laois,R32H5K0
"30 Rathevan Heights, Portlaoise,  Laois, R32C434",175000,3,1,Apartment,1 ac,2023-12-22, Laois,R32C434
"Clonkeen, Portlaoise,  Laois, R32CDC4",375000,3,2,Bungalow,115 m²,2023-12-22, Laois,R32CDC4
"Derrycloney, Mountmellick,  Laois",115000,5,4,Site,198 m²,2023-12-22, Laois, Laois
"53 Mell Street, Kilminchy, Portlaoise,  Laois, R32Y8H2",239000,4,3,Terrace,195 m²,2023-12-22, Laois,R32Y8H2
"Lord Edward Street, Mountmellick,  Laois, R32RF63",300000,4,5,Detached,237 m²,2023-12-22, Laois,R32RF63
"Clondacasey, Mountrath,  Laois",80000,2,2,Site,1.18 ac,2023-12-22, Laois, Laois
"43 Mell Street, Kilminchy, Portlaoise,  Laois, R32CX4D",185000,4,3,Terrace,141 m²,2023-12-22, Laois,R32CX4D
"33 Belmont Lawn, Stillorgan Road, Blackrock,  Dublin, A94FT82",895000,2,1,Detached,52 m²,2023-12-22, Dublin,A94FT82
"Ballygowan, Ardee,  Louth, A92AW68",140000,3,2,Detached,136 m²,2023-12-22, Louth,A92AW68
"Rossbrin, Schull,  Cork, P81VX75",1950000,4,3,Detached,206 m²,2023-12-22, Cork,P81VX75
"Kilbarry, Rooskey,  Roscommon, N41D710",169000,4,2,Detached,156 m²,2023-12-22, Roscommon,N41D710
"87 Wesbury, Stillorgan,  Dublin, A94D856",825000,3,2,Detached,114 m²,2023-12-22, Dublin,A94D856
"16 Maple Drive, Drogheda,  Louth, A92T2YV",265000,3,2,Semi-D,93 m²,2023-12-22, Louth,A92T2YV
"94 Upper Bridge Street, Skibbereen,  Cork, P81NV66",250000,2,1,Semi-D,75 m²,2023-12-22, Cork,P81NV66
"Apartment 18, Botanic Square, Botanic Avenue, Glasnevin, Dublin 9, D09T803",250000,3,2,Apartment,104 m²,2023-12-22,Dublin,D09T803
"6 Oakpark, Ballyhooley Road, Ballyvolane,  Cork, T23E6K7",295000,4,1,Terrace,0.15 ac,2023-12-22, Cork,T23E6K7
"Gortlee, Letterkenny,  Donegal",349000,3,3,Semi-D,106 m²,2023-12-22, Donegal, Donegal
"7 HEWARDINE TERRACE, North City Centre, Dublin 1, D01XN24",285000,3,3,Site,88 m²,2023-12-22,Dublin,D01XN24
"54 Brookfield Green, Kimmage, Dublin 12, D12R9F2",550000,4,3,End of Terrace,136 m²,2023-12-22,Dublin,D12R9F2
"13 Temple Manor Way, Walkinstown, Dublin 12, D12X322",475000,1,1,Semi-D,59 m²,2023-12-22,Dublin,D12X322
"35 Priory Walk, Terenure, Dublin 12, D12E294",695000,4,3,Semi-D,114 m²,2023-12-22,Dublin,D12E294
"52 Ballygraigue Estate, Nenagh,  Tipperary, E45HW89",180000,3,1,End of Terrace,91 m²,2023-12-22, Tipperary,E45HW89
"4 Church Street East, East Wall, Dublin 3, D03A9Y4",495000,3,2,Terrace,105 m²,2023-12-22,Dublin,D03A9Y4
"11 Church Square, East Wall, Dublin 3, D03N9K4",315000,2,1,End of Terrace,65 m²,2023-12-22,Dublin,D03N9K4
"62 Hazel Road, Donnycarney, Dublin 9, D09H2R1",285000,2,1,Terrace,74 m²,2023-12-22,Dublin,D09H2R1
"1 Tivoli Terrace North, Dun Laoghaire,  Dublin, A96VH33",950000,3,2,Semi-D,115 m²,2023-12-22, Dublin,A96VH33
"Thomond, Thomond, 58A Albert Road Lower, Sandycove,  Dublin, A96A3H0",1100000,4,2,Semi-D,158 m²,2023-12-22, Dublin,A96A3H0
"31 St. Mary's Road, East Wall, Dublin 3, D03P891",395000,2,1,Terrace,110 m²,2023-12-22,Dublin,D03P891
"82 Parkview, Verdemont, Blanchardstown, Dublin 15, D15V825",365000,2,2,Apartment,90 m²,2023-12-22,Dublin,D15V825
"42 Cloch Choirneal, Balrothery,  Dublin, K32XY42",350000,3,2,Terrace,109 m²,2023-12-22, Dublin,K32XY42
"Gortshanafada, Currow, Killarney,  Kerry, V93PV3A",295000,6,2,Bungalow,180 m²,2023-12-22, Kerry,V93PV3A
"Curragh, Aghadoe, Killarney,  Kerry, V93V9X5",340000,4,1,Bungalow,108 m²,2023-12-22, Kerry,V93V9X5
"C1 Acre Site, Coolnagloose, Inch,  Wexford",95000,5,2,Site,1.14 ac,2023-12-22, Wexford, Wexford
"92 Trees Road Upper, Mount Merrion,  Dublin, A94V2D5",1275000,4,3,Semi-D,210 m²,2023-12-22, Dublin,A94V2D5
"1-4 Goldsmith View, Lyster St, Athlone,  Westmeath, N37H262",750000,4,2,Terrace,208 m²,2023-12-22, Westmeath,N37H262
"Cappagh, Bahaghs, Cahersiveen,  Kerry, V23KF74",348500,1,1,Detached,88 m²,2023-12-22, Kerry,V23KF74
"Duxtown, Rathkeale,  Limerick",100000,4,2,Detached,0.81 ac,2023-12-22, Limerick, Limerick
"Beal An Tsaile, Bellataleen, Murrisk,  Mayo, F28TP60",550000,5,4,Detached,233 m²,2023-12-22, Mayo,F28TP60
"Bellaghy, Charlestown,  Mayo, F12T2V8",150000,7,3,Detached,100 m²,2023-12-22, Mayo,F12T2V8
"11 Bridgetown Close, Castlemartyr,  Cork, P25EC64",265000,3,2,Semi-D,195 m²,2023-12-22, Cork,P25EC64
"Cloon, Ballyhar, Killarney,  Kerry, V93X8N5",500000,4,3,Bungalow,103 m²,2023-12-22, Kerry,V93X8N5
"121 Leixlip Park, Leixlip,  Kildare, W23P7W2",319000,3,1,Terrace,111 m²,2023-12-22, Kildare,W23P7W2
"46 The Meadows, Marlton Road, Wicklow Town,  Wicklow, A67K188",450000,3,3,Semi-D,205 m²,2023-12-22, Wicklow,A67K188
"13 Brickfield Way, Honey Park, Dun Laoghaire,  Dublin, A96K919",975000,5,2,Terrace,143 m²,2023-12-22, Dublin,A96K919
"Brecon Lodge, Kilkeaskin, Carbury, Kildare,  Kildare",495000,4,3,Detached,64 m²,2023-12-22, Kildare, Kildare
"2A McKee Road, Finglas, Dublin 11",220000,2,1,Apartment,70 m²,2023-12-22,Dublin,Dublin 11
"17A Rathvilly Drive, Finglas, Dublin 11",249500,2,1,End of Terrace,0.59 ac,2023-12-22,Dublin,Dublin 11
"Lismatigue, Hugginstown,  Kilkenny",65000,4,2,Site,202 m²,2023-12-22, Kilkenny, Kilkenny
"11 Carrigbán, Macroom,  Cork, P12K654",475000,4,2,Detached,120 m²,2023-12-22, Cork,P12K654
"43 Park Avenue, Clonroad, Ennis,  Clare, V95T6XP",270000,5,2,Semi-D,248 m²,2023-12-22, Clare,V95T6XP
"Stella Maris, Coast Road, Blackrock,  Louth, A91TK37",600000,4,3,Semi-D,168 m²,2023-12-22, Louth,A91TK37
"2 The Crescent, Horsehead, Passage West,  Cork, T12V2RK",495000,4,3,Terrace,131 m²,2023-12-22, Cork,T12V2RK
"22 Wood Green, Forest Park, Dromahair,  Leitrim, F91D8Y0",275000,1,1,Detached,40 m²,2023-12-22, Leitrim,F91D8Y0
"23 King's Inns Court, Phibsborough, Phibsborough, Dublin 7, D07RW13",240000,2,2,Apartment,94 m²,2023-12-22,Dublin,D07RW13
