year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,Yearborn,age,organizationName,organizationCountry,organizationCity
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,2,775,Linda B. Buck,female,1947-1-29,USA,Seattle WA,1947,57,Fred Hutchinson Cancer Research Center,USA,Seattle WA
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,2,774,Richard Axel,male,1946-7-2,USA,New York NY,1946,58,Columbia University,USA,New York NY
2003,peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,1,773,Shirin Ebadi,female,1947-6-21,Iran,Hamadan,1947,56,,,
2003,economics,for methods of analyzing economic time series with common trends (cointegration),2,772,Clive W.J. Granger,male,1934-9-4,United Kingdom,Swansea,1934,69,University of California,USA,San Diego CA
2003,economics,for methods of analyzing economic time series with time-varying volatility (ARCH),2,771,Robert F. Engle III,male,1942-11-10,USA,Syracuse NY,1942,61,New York University,USA,New York NY
2003,chemistry,for structural and mechanistic studies of ion channels,2,770,Roderick MacKinnon,male,1956-2-19,USA,Burlington MA,1956,47,Rockefeller University,USA,New York NY
2003,chemistry,for the discovery of water channels,2,769,Peter Agre,male,1949-1-30,USA,Northfield MN,1949,54,Johns Hopkins University School of Medicine,USA,Baltimore MD
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,768,Anthony J. Leggett,male,1938-3-26,United Kingdom,London,1938,65,University of Illinois,USA,Urbana IL
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,767,Vitaly L. Ginzburg,male,1916-10-4,Russia,Moscow,1916,87,P.N. Lebedev Physical Institute,Russia,Moscow
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,766,Alexei Abrikosov,male,1928-6-25,Russia,Moscow,1928,75,Argonne National Laboratory,USA,Argonne IL
2003,medicine,for their discoveries concerning magnetic resonance imaging,2,765,Sir Peter Mansfield,male,1933-10-9,United Kingdom,London,1933,70,University of Nottingham School of Physics and Astronomy,United Kingdom,Nottingham
2003,medicine,for their discoveries concerning magnetic resonance imaging,2,764,Paul C. Lauterbur,male,1929-5-6,USA,Sidney OH,1929,74,University of Illinois,USA,Urbana IL
2003,literature,who in innumerable guises portrays the surprising involvement of the outsider,1,763,J. M. Coetzee,male,1940-2-9,South Africa,Cape Town,1940,63,,,
2002,literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,1,761,Imre Kertesz,male,1929-11-9,Hungary,Budapest,1929,73,,,
2002,chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,2,758,Kurt Wuthrich,male,1938-10-4,Switzerland,Aarberg,1938,64,Swiss Federal Institute of Technology,Switzerland,Zurich
2002,peace,for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development,1,762,Jimmy Carter,male,1924-10-1,USA,Plains GA,1924,78,,,
2002,economics,for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms,2,760,Vernon L. Smith,male,1927-1-1,USA,Wichita KS,1927,75,George Mason University,USA,Fairfax VA
2002,economics,for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty,2,759,Daniel Kahneman,male,1934-3-5,Israel,Tel Aviv,1934,68,Princeton University,USA,Princeton NJ
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,4,757,Koichi Tanaka,male,1959-8-3,Japan,Toyama City,1959,43,Shimadzu Corp.,Japan,Kyoto
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,4,756,John B. Fenn,male,1917-6-15,USA,New York NY,1917,85,Virginia Commonwealth University,USA,Richmond VA
2002,physics,for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources,2,755,Riccardo Giacconi,male,1931-10-6,Italy,Genoa,1931,71,Associated Universities Inc.,USA,Washington D.C.
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,4,754,Masatoshi Koshiba,male,1926-9-19,Japan,Toyohashi,1926,76,University of Tokyo,Japan,Tokyo
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,4,753,Raymond Davis Jr.,male,1914-10-14,USA,Washington D.C.,1914,88,University of Pennsylvania,USA,Philadelphia PA
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,752,John E. Sulston,male,1942-3-27,United Kingdom,Cambridge,1942,60,The Wellcome Trust Sanger Institute,United Kingdom,Cambridge
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,751,H. Robert Horvitz,male,1947-5-8,USA,Chicago IL,1947,55,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,750,Sydney Brenner,male,1927-1-13,South Africa,Germiston,1927,75,The Molecular Sciences Institute,USA,Berkeley CA
2001,peace,for their work for a better organized and more peaceful world,2,749,Kofi Annan,male,1938-4-8,Ghana,Kumasi,1938,63,,,
2001,peace,for their work for a better organized and more peaceful world,2,748,United Nations ,org,1945-00-00,,,1945,56,,,
2001,literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,1,747,V. S. Naipaul,male,1932-8-17,Trinidad and Tobago,Chaguanas,1932,69,,,
2001,economics,for their analyses of markets with asymmetric information,3,746,Joseph E. Stiglitz,male,1943-2-9,USA,Gary IN,1943,58,Columbia University,USA,New York NY
2001,economics,for their analyses of markets with asymmetric information,3,745,A. Michael Spence,male,1943-00-00,USA,Montclair NJ,1943,58,Stanford University,USA,Stanford CA
2001,economics,for their analyses of markets with asymmetric information,3,744,George A. Akerlof,male,1940-6-17,USA,New Haven CT,1940,61,University of California,USA,Berkeley CA
2001,chemistry,for his work on chirally catalysed oxidation reactions,2,743,Barry Sharpless,male,1941-4-28,USA,Philadelphia PA,1941,60,The Scripps Research Institute,USA,La Jolla CA
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,4,742,Ryoji Noyori,male,1938-9-3,Japan,Kobe,1938,63,Nagoya University,Japan,Nagoya
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,4,741,William Knowles,male,1917-6-1,USA,Taunton MA,1917,84,,,
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,740,Carl Wieman,male,1951-3-26,USA,Corvallis OR,1951,50,University of Colorado JILA,USA,Boulder CO
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,739,Wolfgang Ketterle,male,1957-10-21,Germany,Heidelberg,1957,44,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,738,Eric Cornell,male,1961-12-19,USA,Palo Alto CA,1961,40,University of Colorado JILA,USA,Boulder CO
2001,medicine,for their discoveries of key regulators of the cell cycle,3,737,Sir Paul Nurse,male,1949-1-25,United Kingdom,Norwich,1949,52,Imperial Cancer Research Fund,United Kingdom,London
2001,medicine,for their discoveries of key regulators of the cell cycle,3,736,Tim Hunt,male,1943-2-19,United Kingdom,Neston,1943,58,Imperial Cancer Research Fund,United Kingdom,London
2001,medicine,for their discoveries of key regulators of the cell cycle,3,735,Leland Hartwell,male,1939-10-30,USA,Los Angeles CA,1939,62,Fred Hutchinson Cancer Research Center,USA,Seattle WA
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,722,Arvid Carlsson,male,1923-1-25,Sweden,Uppsala,1923,77,Goteborg University,Sweden,Gothenburg
2000,literature,for an universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama,1,734,Xingjian Gao,male,1940-1-4,China,Ganzhou,1940,60,,,
2000,economics,for his development of theory and methods for analyzing discrete choice,2,733,Daniel L. McFadden,male,1937-7-29,USA,Raleigh NC,1937,63,University of California,USA,Berkeley CA
2000,economics,for his development of theory and methods for analyzing selective samples,2,732,James J. Heckman,male,1944-4-19,USA,Chicago IL,1944,56,University of Chicago,USA,Chicago IL
2000,chemistry,for the discovery and development of conductive polymers,3,731,Hideki Shirakawa,male,1936-8-20,Japan,Tokyo,1936,64,University of Tsukuba,Japan,Tsukuba
2000,chemistry,for the discovery and development of conductive polymers,3,730,Alan MacDiarmid,male,1927-4-14,New Zealand,Masterton,1927,73,University of Pennsylvania,USA,Philadelphia PA
2000,chemistry,for the discovery and development of conductive polymers,3,729,Alan Heeger,male,1936-1-22,USA,Sioux City IA,1936,64,University of California,USA,Santa Barbara CA
2000,physics,for his part in the invention of the integrated circuit,2,728,Jack Kilby,male,1923-11-8,USA,Jefferson City MO,1923,77,Texas Instruments,USA,Dallas TX
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,4,727,Herbert Kroemer,male,1928-8-25,Germany,Weimar,1928,72,University of California,USA,Santa Barbara CA
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,4,726,Zhores Alferov,male,1930-3-15,Belarus,Vitebsk Belorussia,1930,70,A.F. Ioffe Physico-Technical Institute,Russia,St. Petersburg
2000,peace,for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular,1,725,Kim Dae-jung,male,1925-12-3,South Korea,Mokpo,1925,75,,,
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,724,Eric Kandel,male,1929-11-7,Austria,Vienna,1929,71,Columbia University,USA,New York NY
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,723,Paul Greengard,male,1925-12-11,USA,New York NY,1925,75,Rockefeller University,USA,New York NY
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,2,158,Gerardus 't Hooft,male,1946-7-5,the Netherlands,Den Helder,1946,53,Utrecht University,the Netherlands,Utrecht
1999,literature,whose frolicsome black fables portray the forgotten face of history,1,676,Gnter Grass,male,1927-10-16,Poland,Gdansk,1927,72,,,
1999,economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,1,720,Robert Mundell,male,1932-10-24,Canada,Kingston ON,1932,67,Columbia University,USA,New York NY
1999,peace,in recognition of the organisation's pioneering humanitarian work on several continents,1,568,Doctors Without Borders ,org,1971-00-00,,,1971,28,,,
1999,medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,1,461,Gnter Blobel,male,1936-5-21,Poland,Niegoslawice,1936,63,Rockefeller University,USA,New York NY
1999,chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1,292,Ahmed Zewail,male,1946-2-26,Egypt,Damanhur,1946,53,California Institute of Technology (Caltech),USA,Pasadena CA
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,2,159,Martinus J.G. Veltman,male,1931-6-27,the Netherlands,Waalwijk,1931,68,,,
1998,literature,who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality,1,675,Jose Saramago,male,1922-11-16,Portugal,Azinhaga,1922,76,,,
1998,economics,for his contributions to welfare economics,1,719,Amartya Sen,male,1933-11-3,India,Santiniketan,1933,65,Trinity College,United Kingdom,Cambridge
1998,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,2,567,David Trimble,male,1944-10-15,Northern Ireland,Belfast,1944,54,,,
1998,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,2,566,John Hume,male,1937-1-18,Northern Ireland,Londonderry,1937,61,,,
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,460,Ferid Murad,male,1936-9-14,USA,Whiting IN,1936,62,University of Texas Medical School at Houston,USA,Houston TX
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,459,Louis J. Ignarro,male,1941-5-31,USA,Brooklyn NY,1941,57,University of California School of Medicine,USA,Los Angeles CA
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,458,Robert F. Furchgott,male,1916-6-4,USA,Charleston SC,1916,82,SUNY Health Science Center,USA,Brooklyn NY
1998,chemistry,for his development of computational methods in quantum chemistry,2,291,John Pople,male,1925-10-31,United Kingdom,Burnham on Sea,1925,73,Northwestern University,USA,Evanston IL
1998,chemistry,for his development of the density-functional theory,2,290,Walter Kohn,male,1923-3-9,Austria,Vienna,1923,75,University of California,USA,Santa Barbara CA
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,157,Daniel C. Tsui,male,1939-2-28,China,Henan,1939,59,Princeton University,USA,Princeton NJ
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,156,Horst L. Stormer,male,1949-4-6,Germany,Frankfurt-on-the-Main,1949,49,Columbia University,USA,New York NY
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,155,Robert B. Laughlin,male,1950-11-1,USA,Visalia CA,1950,48,Stanford University,USA,Stanford CA
1997,physics,for development of methods to cool and trap atoms with laser light,3,153,Claude Cohen-Tannoudji,male,1933-4-1,Algeria,Constantine,1933,64,College de France,France,Paris
1997,economics,for a new method to determine the value of derivatives,2,718,Myron Scholes,male,1941-7-1,Canada,Timmins ON,1941,56,Long Term Capital Management,USA,Greenwich CT
1997,economics,for a new method to determine the value of derivatives,2,717,Robert C. Merton,male,1944-7-31,USA,New York NY,1944,53,Harvard University,USA,Cambridge MA
1997,literature,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,1,674,Dario Fo,male,1926-3-24,Italy,Leggiuno-Sangiano,1926,71,,,
1997,peace,for their work for the banning and clearing of anti-personnel mines,2,565,Jody Williams,female,1950-10-9,USA,Putney VT,1950,47,,,
1997,peace,for their work for the banning and clearing of anti-personnel mines,2,564,International Campaign to Ban Landmines ,org,1992-00-00,,,1992,5,,,
1997,medicine,for his discovery of Prions - a new biological principle of infection,1,457,Stanley B. Prusiner,male,1942-5-28,USA,Des Moines IA,1942,55,University of California School of Medicine,USA,San Francisco CA
1997,chemistry,for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase,2,289,Jens C. Skou,male,1918-10-8,Denmark,Lemvig,1918,79,Aarhus University,Denmark,Aarhus
1997,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),4,288,John E. Walker,male,1941-1-7,United Kingdom,Halifax,1941,56,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
1997,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),4,287,Paul D. Boyer,male,1918-7-31,USA,Provo UT,1918,79,University of California,USA,Los Angeles CA
1997,physics,for development of methods to cool and trap atoms with laser light,3,154,William D. Phillips,male,1948-11-5,USA,Wilkes-Barre PA,1948,49,National Institute of Standards and Technology,USA,Gaithersburg MD
1997,physics,for development of methods to cool and trap atoms with laser light,3,152,Steven Chu,male,1948-2-28,USA,St. Louis MO,1948,49,Stanford University,USA,Stanford CA
1996,peace,for their work towards a just and peaceful solution to the conflict in East Timor,2,563,Jose Ramos-Horta,male,1949-12-26,East Timor,Dili,1949,47,,,
1996,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,2,716,William Vickrey,male,1914-6-21,Canada,Victoria BC,1914,82,Columbia University,USA,New York NY
1996,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,2,715,James A. Mirrlees,male,1936-7-5,Scotland,Minnigaff,1936,60,University of Cambridge,United Kingdom,Cambridge
1996,literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,1,673,Wislawa Szymborska,female,1923-7-2,Poland,Krnik,1923,73,,,
1996,peace,for their work towards a just and peaceful solution to the conflict in East Timor,2,562,Carlos Filipe Ximenes Belo,male,1948-2-3,East Timor,Wailacama,1948,48,,,
1996,medicine,for their discoveries concerning the specificity of the cell mediated immune defence,2,456,Rolf M. Zinkernagel,male,1944-1-6,Switzerland,Basel,1944,52,University of Zurich Institute of Experimental Immunology,Switzerland,Zurich
1996,medicine,for their discoveries concerning the specificity of the cell mediated immune defence,2,455,Peter C. Doherty,male,1940-10-15,Australia,Brisbane,1940,56,St. Jude Children's Research Hospital,USA,Memphis TN
1996,chemistry,for their discovery of fullerenes,3,286,Richard E. Smalley,male,1943-6-6,USA,Akron OH,1943,53,Rice University,USA,Houston TX
1996,chemistry,for their discovery of fullerenes,3,285,Sir Harold Kroto,male,1939-10-7,United Kingdom,Wisbech Cambridgeshire,1939,57,University of Sussex,United Kingdom,Brighton
1996,chemistry,for their discovery of fullerenes,3,284,Robert F. Curl Jr.,male,1933-8-23,USA,Alice TX,1933,63,Rice University,USA,Houston TX
1996,physics,for their discovery of superfluidity in helium-3,3,151,Robert C. Richardson,male,1937-6-26,USA,Washington D.C.,1937,59,Cornell University,USA,Ithaca NY
1996,physics,for their discovery of superfluidity in helium-3,3,150,Douglas D. Osheroff,male,1945-8-1,USA,Aberdeen WA,1945,51,Stanford University,USA,Stanford CA
1996,physics,for their discovery of superfluidity in helium-3,3,149,David M. Lee,male,1931-1-20,USA,Rye NY,1931,65,Cornell University,USA,Ithaca NY
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,453,Christiane Nusslein-Volhard,female,1942-10-20,Germany,Magdeburg,1942,53,Max Planck Institute for Developmental Biology,Germany,Tubingen
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,281,Paul J. Crutzen,male,1933-12-3,the Netherlands,Amsterdam,1933,62,Max Planck Institute for Chemistry,Germany,Mainz
1995,literature,for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past,1,672,Seamus Heaney,male,1939-4-13,Northern Ireland,Castledawson,1939,56,,,
1995,economics,for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy,1,714,Robert E. Lucas Jr.,male,1937-9-15,USA,Yakima WA,1937,58,University of Chicago,USA,Chicago IL
1995,peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,2,561,Pugwash Conferences on Science and World Affairs ,org,1957-00-00,,,1957,38,,,
1995,peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,2,560,Joseph Rotblat,male,1908-11-4,Poland,Warsaw,1908,87,,,
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,454,Eric F. Wieschaus,male,1947-6-8,USA,South Bend IN,1947,48,Princeton University,USA,Princeton NJ
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,452,Edward B. Lewis,male,1918-5-20,USA,Wilkes-Barre PA,1918,77,California Institute of Technology (Caltech),USA,Pasadena CA
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,283,F. Sherwood Rowland,male,1927-6-28,USA,Delaware OH,1927,68,University of California,USA,Irvine CA
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,282,Mario J. Molina,male,1943-3-19,Mexico,Mexico City,1943,52,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
1995,physics,for the detection of the neutrino,2,148,Frederick Reines,male,1918-3-16,USA,Paterson NJ,1918,77,University of California,USA,Irvine CA
1995,physics,for the discovery of the tau lepton,2,147,Martin L. Perl,male,1927-6-24,USA,New York NY,1927,68,Stanford University,USA,Stanford CA
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,713,Reinhard Selten,male,1930-10-5,Poland,Wroclaw,1930,64,Rheinische Friedrich-Wilhelms-Universitat,Germany,Bonn
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,712,John F. Nash Jr.,male,1928-6-13,USA,Bluefield WV,1928,66,Princeton University,USA,Princeton NJ
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,711,John C. Harsanyi,male,1920-5-29,Hungary,Budapest,1920,74,University of California,USA,Berkeley CA
1994,literature,who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today,1,671,Kenzaburo Oe,male,1935-1-31,Japan,Uchiko,1935,59,,,
1994,peace,for their efforts to create peace in the Middle East,3,559,Yitzhak Rabin,male,1922-3-1,Israel,Jerusalem,1922,72,,,
1994,peace,for their efforts to create peace in the Middle East,3,558,Shimon Peres,male,1923-8-16,Belarus,Vishneva,1923,71,,,
1994,peace,for their efforts to create peace in the Middle East,3,557,Yasser Arafat,male,1929-8-24,Egypt,Cairo,1929,65,,,
1994,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,2,451,Martin Rodbell,male,1925-12-1,USA,Baltimore MD,1925,69,National Institute of Environmental Health Sciences,USA,Research Triangle Park NC
1994,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,2,450,Alfred G. Gilman,male,1941-7-1,USA,New Haven CT,1941,53,University of Texas Southwestern Medical Center at Dallas,USA,Dallas TX
1994,chemistry,for his contribution to carbocation chemistry,1,280,George A. Olah,male,1927-5-22,Hungary,Budapest,1927,67,University of Southern California,USA,Los Angeles CA
1994,physics,for the development of the neutron diffraction technique,2,146,Clifford G. Shull,male,1915-9-23,USA,Pittsburgh PA,1915,79,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
1994,physics,for the development of neutron spectroscopy,2,145,Bertram N. Brockhouse,male,1918-7-15,Canada,Lethbridge Alberta,1918,76,McMaster University,Canada,Hamilton Ontario
1993,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,2,710,Douglass C. North,male,1920-11-5,USA,Cambridge MA,1920,73,Washington University,USA,St. Louis MO
1993,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,2,709,Robert W. Fogel,male,1927-7-1,USA,New York NY,1927,66,University of Chicago,USA,Chicago IL
1993,literature,who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality,1,670,Toni Morrison,female,1931-2-18,USA,Lorain OH,1931,62,,,
1993,peace,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,2,556,F.W. de Klerk,male,1936-3-18,South Africa,Johannesburg,1936,57,,,
1993,peace,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,2,555,Nelson Mandela,male,1918-7-18,South Africa,Qunu,1918,75,,,
1993,medicine,for their discoveries of split genes,2,449,Phillip A. Sharp,male,1944-6-6,USA,Falmouth KY,1944,49,Massachusetts Institute of Technology (MIT) Center for Cancer Research,USA,Cambridge MA
1993,medicine,for their discoveries of split genes,2,448,Richard J. Roberts,male,1943-9-6,United Kingdom,Derby,1943,50,New England Biolabs,USA,Beverly MA
1993,chemistry,for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies,2,279,Michael Smith,male,1932-4-26,United Kingdom,Blackpool,1932,61,University of British Columbia,Canada,Vancouver
1993,chemistry,for his invention of the polymerase chain reaction (PCR) method,2,278,Kary B. Mullis,male,1944-12-28,USA,Lenoir NC,1944,49,,,
1993,physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,2,144,Joseph H. Taylor Jr.,male,1941-3-29,USA,Philadelphia PA,1941,52,Princeton University,USA,Princeton NJ
1993,physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,2,143,Russell A. Hulse,male,1950-11-28,USA,New York NY,1950,43,Princeton University,USA,Princeton NJ
1992,peace,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,1,554,Rigoberta Menchu Tum,female,1959-1-9,Guatemala,Aldea Chimel,1959,33,,,
1992,physics,for his invention and development of particle detectors in particular the multiwire proportional chamber,1,142,Georges Charpak,male,1924-8-1,Poland,Dabrovica,1924,68,Ecole Superieure de Physique et Chimie,France,Paris
1992,economics,for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour,1,708,Gary Becker,male,1930-12-2,USA,Pottsville PA,1930,62,University of Chicago,USA,Chicago IL
1992,literature,for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment,1,669,Derek Walcott,male,1930-1-23,Saint Lucia,Castries,1930,62,,,
1992,medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,2,447,Edwin G. Krebs,male,1918-6-6,USA,Lansing IA,1918,74,University of Washington,USA,Seattle WA
1992,medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,2,446,Edmond H. Fischer,male,1920-4-6,China,Shanghai,1920,72,University of Washington,USA,Seattle WA
1992,chemistry,for his contributions to the theory of electron transfer reactions in chemical systems,1,277,Rudolph A. Marcus,male,1923-7-21,Canada,Montreal,1923,69,California Institute of Technology (Caltech),USA,Pasadena CA
1991,medicine,for their discoveries concerning the function of single ion channels in cells,2,444,Erwin Neher,male,1944-3-20,Germany,Landsberg,1944,47,Max Planck Institute for Biophysical Chemistry,Germany,Gottingen
1991,medicine,for their discoveries concerning the function of single ion channels in cells,2,445,Bert Sakmann,male,1942-6-12,Germany,Stuttgart,1942,49,Max Planck Institute for Medical Research,Germany,Heidelberg
1991,chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,1,276,Richard R. Ernst,male,1933-8-14,Switzerland,Winterthur,1933,58,Swiss Federal Institute of Technology (ETH Zurich),Switzerland,Zurich
1991,physics,for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers,1,141,Pierre-Gilles de Gennes,male,1932-10-24,France,Paris,1932,59,College de France,France,Paris
1991,economics,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,1,707,Ronald H. Coase,male,1910-12-29,United Kingdom,Willesden,1910,81,University of Chicago,USA,Chicago IL
1991,literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,1,668,Nadine Gordimer,female,1923-11-20,South Africa,Springs,1923,68,,,
1991,peace,for her non-violent struggle for democracy and human rights,1,553,Aung San Suu Kyi ,female,1945-6-19,Myanmar,Yangon,1945,46,,,
1990,economics,for their pioneering work in the theory of financial economics,3,706,William F. Sharpe,male,1934-6-16,USA,Boston MA,1934,56,Stanford University,USA,Stanford CA
1990,economics,for their pioneering work in the theory of financial economics,3,705,Merton H. Miller,male,1923-5-16,USA,Boston MA,1923,67,University of Chicago,USA,Chicago IL
1990,economics,for their pioneering work in the theory of financial economics,3,704,Harry M. Markowitz,male,1927-8-24,USA,Chicago IL,1927,63,City University of New York,USA,New York NY
1990,literature,for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity,1,667,Octavio Paz,male,1914-3-31,Mexico,Mexico City,1914,76,,,
1990,peace,for the leading role he played in the radical changes in East-West relations,1,552,Mikhail Gorbachev,male,1931-3-2,Russia,Privolnoye,1931,59,,,
1990,medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,2,443,E. Donnall Thomas,male,1920-3-15,USA,Mart TX,1920,70,Fred Hutchinson Cancer Research Center,USA,Seattle WA
1990,medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,2,442,Joseph E. Murray,male,1919-4-1,USA,Milford MA,1919,71,Brigham and Women's Hospital,USA,Boston MA
1990,chemistry,for his development of the theory and methodology of organic synthesis,1,275,Elias James Corey,male,1928-7-12,USA,Methuen MA,1928,62,Harvard University,USA,Cambridge MA
1990,physics,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics,3,140,Richard E. Taylor,male,1929-11-2,Canada,Medicine Hat Alberta,1929,61,Stanford University,USA,Stanford CA
1990,physics,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics,3,139,Henry W. Kendall,male,1926-12-9,USA,Boston MA,1926,64,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
